Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,списание средств,4593.14,безналичный,Витебск,Приорбанк-QWNR-483,19-03-2000,04:27:07,успешно,нет,0.0
юр. лицо,списание средств,2366.65,наличный,Гомель,Беларусбанк-ELBW-979,06-02-2007,01:40:07,успешно,нет,0.0
юр. лицо,получение средств,2326.0,наличный,Гродно,БелАгропромбанк-PGIC-933,14-12-2022,09:46:53,успешно,нет,0.0
юр. лицо,списание средств,4454.76,наличный,Гомель,МаксБанк-PFSO-675,05-03-2011,08:20:04,недостаточно средств,да,256.44
физ. лицо,получение средств,3175.63,наличный,Гродно,Белинвестбанк-YDJO-218,03-08-2011,16:39:51,успешно,нет,0.0
юр. лицо,получение средств,3510.93,безналичный,Минск,Беларусбанк-OBBS-395,15-02-2022,03:07:31,успешно,нет,0.0
юр. лицо,списание средств,1819.82,наличный,Гродно,Приорбанк-TJGA-585,07-02-2006,02:26:53,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,50.26,безналичный,Могилев,Беларусбанк-UREM-091,01-12-2018,23:32:03,успешно,да,3.9
физ. лицо,списание средств,1532.18,безналичный,Могилев,Приорбанк-SEDN-602,15-06-2016,02:52:10,успешно,да,54.9
юр. лицо,получение средств,2468.48,безналичный,Витебск,Беларусбанк-GACP-955,14-06-2009,13:27:45,успешно,нет,0.0
юр. лицо,списание средств,103.74,наличный,Гомель,Белинвестбанк-NXJU-354,08-12-2013,00:14:31,недостаточно средств,нет,0.0
физ. лицо,списание средств,4267.51,безналичный,Витебск,БелАгропромбанк-BTTT-929,13-04-2018,06:59:59,успешно,да,107.86
юр. лицо,списание средств,140.22,наличный,Гродно,БелАгропромбанк-WTAJ-229,19-09-2022,05:57:43,успешно,нет,0.0
юр. лицо,получение средств,774.01,безналичный,Витебск,БелАгропромбанк-FMGG-053,24-11-2001,14:59:05,успешно,нет,0.0
физ. лицо,получение средств,1762.9,наличный,Гродно,Беларусбанк-VIHC-032,12-01-2000,10:47:02,успешно,нет,0.0
юр. лицо,списание средств,790.67,безналичный,Минск,БелАгропромбанк-LPSD-784,06-03-2014,18:26:21,недостаточно средств,да,53.32
юр. лицо,получение средств,3546.76,наличный,Гродно,БелАгропромбанк-LIRX-074,04-09-2017,17:56:33,успешно,нет,0.0
физ. лицо,получение средств,1248.38,безналичный,Гродно,Приорбанк-JFBU-173,24-02-2016,02:21:11,успешно,нет,0.0
физ. лицо,получение средств,2055.44,наличный,Брест,БелАгропромбанк-ETNX-628,25-12-2014,02:28:14,успешно,нет,0.0
юр. лицо,списание средств,2489.18,безналичный,Брест,Беларусбанк-CATM-234,02-06-2009,05:55:44,недостаточно средств,нет,0.0
юр. лицо,получение средств,2689.77,наличный,Витебск,Белинвестбанк-HIUJ-724,01-06-2023,17:37:16,успешно,нет,0.0
юр. лицо,списание средств,1460.74,безналичный,Гродно,Приорбанк-PNBU-191,28-10-2015,04:35:08,недостаточно средств,нет,0.0
юр. лицо,получение средств,4353.02,наличный,Витебск,БелАгропромбанк-YKKF-391,20-11-2023,16:17:32,успешно,нет,0.0
физ. лицо,получение средств,1756.24,безналичный,Могилев,Белинвестбанк-RVKZ-726,24-04-2003,08:56:46,успешно,нет,0.0
юр. лицо,получение средств,4107.16,безналичный,Гомель,Белинвестбанк-KRVV-358,14-08-2024,21:46:08,успешно,нет,0.0
